	subjects	classes	status	B0	Dice	HD95
350	sub_11	BA	with_pp	0.0	0.9171901770416906	0.7142848968505859
351	sub_12	BA	with_pp	0.0	0.9286558927867561	0.3571434020996094
352	sub_13	BA	with_pp	0.0	0.9058295964125561	0.3571434020996094
353	sub_14	BA	with_pp	0.0	0.9707486365889936	0.35714149475097656
354	sub_15	BA	with_pp	0.0	0.8991217659624969	0.3571434020996094
355	sub_16	BA	with_pp	0.0	0.8988030467899891	0.505077064037323
356	sub_17	BA	with_pp	0.0	0.8354712771890686	2.0775777101516724
357	sub_18	BA	with_pp	0.0	0.8954650269023828	0.3571434020996094
358	sub_19	BA	with_pp	0.0	0.9543973941368078	0.3571434020996094
359	sub_20	BA	with_pp	0.0	0.9271356783919599	0.5
360	sub_1	ClsAvgB0err	with_pp	0.3333333333333333	0.7682322687570138	15.83390649507443
361	sub_2	ClsAvgB0err	with_pp	0.2727272727272727	0.6031331424578104	18.370449022271416
362	sub_3	ClsAvgB0err	with_pp	0.08333333333333333	0.8274046365918492	8.265266587336859
363	sub_4	ClsAvgB0err	with_pp	0.18181818181818182	0.8308577132235204	8.597402442585338
364	sub_5	ClsAvgB0err	with_pp	0.0	0.7965569923070249	1.3277738908926635
365	sub_6	ClsAvgB0err	with_pp	0.18181818181818182	0.8031697059001104	9.43166289437901
366	sub_7	ClsAvgB0err	with_pp	0.1111111111111111	0.8337312329477243	0.6218659189012316
367	sub_8	ClsAvgB0err	with_pp	0.16666666666666666	0.7756150938087467	8.311009990175565
368	sub_9	ClsAvgB0err	with_pp	0.0	0.9182624687948773	0.42623826503753665
369	sub_10	ClsAvgB0err	with_pp	0.2727272727272727	0.6543026169734593	18.868235778808593
370	sub_11	ClsAvgB0err	with_pp	0.0	0.8567249230879233	0.996210289001465
371	sub_12	ClsAvgB0err	with_pp	0.23076923076923078	0.7166544433100068	8.577356353631385
372	sub_13	ClsAvgB0err	with_pp	0.08333333333333333	0.7946140575474271	8.13613460958004
373	sub_14	ClsAvgB0err	with_pp	0.0	0.9228323204199929	0.4061517305672168
374	sub_15	ClsAvgB0err	with_pp	0.09090909090909091	0.7379366314621879	1.1929901128465477
375	sub_16	ClsAvgB0err	with_pp	0.0	0.8260294117783246	1.1065260867277782
